qtype,Question,Answer
symptoms,What are the symptoms of High Blood Pressure ?,"Because diagnosis is based on blood pressure readings, this condition can go undetected for years, as symptoms do not usually appear until the body is damaged from chronic high blood pressure.
                

                
Complications of High Blood Pressure
                
When blood pressure stays high over time, it can damage the body and cause complications. Some common complications and their signs and symptoms include:
                
Aneurysms:When an abnormal bulge forms in the wall of an artery. Aneurysms develop and grow for years without causing signs or symptoms until they rupture, grow large enough to press on nearby body parts, or block blood flow. The signs and symptoms that develop depend on the location of the aneurysm.
                
Chronic Kidney Disease: When blood vessels narrow in the kidneys, possibly causing kidney failure.
                
Cognitive Changes: Research shows that over time, higher blood pressure numbers can lead to cognitive changes. Signs and symptoms include memory loss, difficulty finding words, and losing focus during conversations.
                
Eye Damage: When blood vessels in the eyes burst or bleed. Signs and symptoms include vision changes or blindness.
                
Heart Attack: When the flow of oxygen-rich blood to a section of heart muscle suddenly becomes blocked and the heart doesnt get oxygen. The most common warning symptoms of a heart attack are chest pain or discomfort, upper body discomfort, and shortness of breath.
                
Heart Failure: When the heart cant pump enough blood to meet the bodys needs. Common signs and symptoms of heart failure include shortness of breath or trouble breathing; feeling tired; and swelling in the ankles, feet, legs, abdomen, and veins in the neck.
                
Peripheral Artery Disease: A disease in which plaque builds up in leg arteries and affects blood flow in the legs. When people have symptoms, the most common are pain, cramping, numbness, aching, or heaviness in the legs, feet, and buttocks after walking or climbing stairs.
                
Stroke: When the flow of oxygen-rich blood to a portion of the brain is blocked. The symptoms of a stroke include sudden onset of weakness; paralysis or numbness of the face, arms, or legs; trouble speaking or understanding speech; and trouble seeing."
exams and tests,How to diagnose High Blood Pressure ?,"For most patients, health care providers diagnose high blood pressure when blood pressure readings areconsistently 140/90 mmHg or above.
                
Confirming High Blood Pressure
                
A blood pressure test is easy and painless and can be done in a health care providers office or clinic. To prepare for the test:
                
Dont drink coffee or smoke cigarettes for 30 minutes prior to the test.
                
Go to the bathroom before the test.
                
Sit for 5 minutes before the test.
                
To track blood pressure readings over a period of time, the health care provider may ask you to come into the office on different days and at different times to take your blood pressure. The health care provider also may ask you to check readings at home or at other locations that have blood pressure equipment and to keep a written log of all your results.
                
Whenever you have an appointment with the health care provider, be sure to bring your log of blood pressure readings. Every time you visit the health care provider, he or she should tell you what your blood pressure numbers are; if he or she does not, you should ask for your readings.
                
Blood Pressure Severity and Type
                
Your health care provider usually takes 23 readings at several medical appointments to diagnose high blood pressure. Using the results of your blood pressure test, your health care provider will diagnose prehypertension or high blood pressure if:
                
Your systolic or diastolic readings are consistently higher than 120/80 mmHg.
                
Your childs blood pressure numbers are outside average numbers for children of the same age, gender, and height.
                
Once your health care provider determines the severity of your blood pressure, he or she can order additional tests to determine if your blood pressure is due to other conditions or medicines or if you have primary high blood pressure. Health care providers can use this information to develop your treatment plan.
                
Some people have white coat hypertension. This happens when blood pressure readings are only high when taken in a health care providers office compared with readings taken in any other location. Health care providers diagnose this type of high blood pressure by reviewing readings in the office and readings taken anywhere else. Researchers believe stress, which can occur during the medical appointment, causes white coat hypertension."
treatment,What are the treatments for High Blood Pressure ?,"Based on your diagnosis, health care providers develop treatment plans for high blood pressure that include lifelong lifestyle changes and medicines to control high blood pressure; lifestyle changes such as weight loss can be highly effective in treating high blood pressure.
                

                
Treatment Plans
                
Health care providers work with you to develop a treatment plan based on whether you were diagnosed with primary or secondary high blood pressure and if there is a suspected or known cause. Treatment plans may evolve until blood pressure control is achieved.
                
If your health care provider diagnoses you with secondary high blood pressure, he or she will work to treat the other condition or change the medicine suspected of causing your high blood pressure. If high blood pressure persists or is first diagnosed as primary high blood pressure, your treatment plan will include lifestyle changes. When lifestyle changes alone do not control or lower blood pressure, your health care provider may change or update your treatment plan by prescribing medicines to treat the disease. Health care providers prescribe children and teens medicines at special doses that are safe and effective in children.
                
If your health care provider prescribes medicines as a part of your treatment plan, keep up your healthy lifestyle habits. The combination of the medicines and the healthy lifestyle habits helps control and lower your high blood pressure.
                
Some people develop resistant or uncontrolled high blood pressure. This can happen when the medications they are taking do not work well for them or another medical condition is leading to uncontrolled blood pressure. Health care providers treat resistant or uncontrolled high blood pressure with an intensive treatment plan that can include a different set of blood pressure medications or other special treatments.
                
To achieve the best control of your blood pressure, follow your treatment plan and take all medications as prescribed. Following your prescribed treatment plan is important because it can prevent or delay complications that high blood pressure can cause and can lower your risk for other related problems.
                

                
Healthy Lifestyle Changes
                
Healthy lifestyle habits can help you control high blood pressure. These habits include:
                
Healthy eating
                
Being physically active
                
Maintaining a healthy weight
                
Limiting alcohol intake
                
Managing and coping with stress
                
To help make lifelong lifestyle changes, try making one healthy lifestyle change at a time and add another change when you feel that you have successfully adopted the earlier changes. When you practice several healthy lifestyle habits, you are more likely to lower your blood pressure and maintain normal blood pressure readings.
                

                
Healthy Eating
                
To help treat high blood pressure, health care providers recommend that you limit sodium and salt intake, increase potassium, and eat foods that are heart healthy.
                
Limiting Sodium and Salt
                
A low-sodium diet can help you manage your blood pressure. You should try to limit the amount of sodium that you eat. This means choosing and preparing foods that are lower in salt and sodium. Try to use low-sodium and no added salt foods and seasonings at the table or while cooking. Food labels tell you what you need to know about choosing foods that are lower in sodium. Try to eat no more than 2,300 mg sodium a day. If you have high blood pressure, you may need to restrict your sodium intake even more.
                
Your health care provider may recommend the Dietary Approaches to Stop Hypertension (DASH) eating plan if you have high blood pressure. The DASH eating plan focuses on fruits, vegetables, whole grains, and other foods that are heart healthy and low in fat, cholesterol, and salt.
                
The DASH eating plan is a good heart-healthy eating plan, even for those who dont have high blood pressure. Read more about the DASH eating plan.
                
Heart-Healthy Eating
                
Your health care provider also may recommend heart-healthy eating, which should include:
                
Whole grains
                
Fruits, such as apples, bananas, oranges, pears, and prunes
                
Vegetables, such as broccoli, cabbage, and carrots
                
Legumes, such as kidney beans, lentils, chick peas, black-eyed peas, and lima beans
                
Fat-free or low-fat dairy products, such as skim milk
                
Fish high in omega-3 fatty acids, such as salmon, tuna, and trout, about twice a week
                
When following a heart-healthy diet, you should avoid eating:
                
A lot of red meat
                
Palm and coconut oils
                
Sugary foods and beverages
                
In the National Heart, Lung, and Blood Institute (NHLBI)-sponsored Hispanic Community Health Study/Study of Latinos, which studied Hispanics living in the United States, Cubans ate more sodium and Mexicans ate less sodium than other Hispanic groups in the study. All Hispanic Americans should follow these healthy eating recommendations even when cooking traditional Latino dishes. Try some of these popular Hispanic American heart-healthy recipes.
                

                
Being Physically Active
                
Routine physical activity can lower high blood pressure and reduce your risk for other health problems. Talk with your health care provider before you start a new exercise plan. Ask him or her how much and what kinds of physical activity are safe for you.
                
Everyone should try to participate in moderate-intensity aerobic exercise at least 2 hours and 30minutes per week, or vigorous-intensity aerobic exercise for 1 hour and 15 minutes per week. Aerobic exercise, such as brisk walking, is any exercise in which your heart beats harder and you use more oxygen than usual. The more active you are, the more you will benefit. Participate in aerobic exercise for at least 10 minutes at a time, spread throughout the week.
                
Read more about physical activity:
                
Physical Activity and Your Heart
                
U.S. Department of Health and Human Services'2008 Physical Activity Guidelines for Americans
                

                
Maintaining a Healthy Weight
                
Maintaining a healthy weight can help you control high blood pressure and reduce your risk for other health problems. If youre overweight or obese, try to lose weight. A loss of just 3 to 5 percent can lower your risk for health problems. Greater amounts of weight loss can improve blood pressure readings, lowerLDL cholesterol, and increase HDL cholesterol. However, research shows that no matter your weight, it is important to control high blood pressure to maintain good health.
                
A useful measure of overweight and obesity is body mass index (BMI). BMI measures your weight in relation to your height. To figure out your BMI, check out NHLBIs online BMI calculator or talk to yourhealth care provider.
                
A BMI:
                
Below 18.5 is a sign that you are underweight.
                
Between 18.5 and 24.9 is in the healthy range.
                
Between 25 and 29.9 is considered overweight.
                
Of 30 or more is considered obese.
                
A general goal to aim for is a BMI below 25. Your health care provider can help you set an appropriate BMI goal.
                
Measuring waist circumference helps screen for possible health risks. If most of your fat is around your waist rather than at your hips, youre at a higher risk for heart disease and type 2 diabetes. This risk may be high with a waist size that is greater than 35 inches for women or greater than 40 inches for men. To learn how to measure your waist, visit Assessing Your Weight and Health Risk. For more information about losing weight or maintaining your weight, go to Aim for a Healthy Weight.
                

                
Limiting Alcohol Intake
                
Limit alcohol intake. Too much alcohol will raise your blood pressure and triglyceride levels, a type of fat found in the blood. Alcohol also adds extra calories, which may cause weight gain.
                
Men should have no more than two drinks containing alcohol a day. Women should have no more than one drink containing alcohol a day. One drink is:
                
12 ounces of beer
                
5 ounces of wine
                
1 ounces of liquor
                
Managing and Coping With Stress
                
Learning how to manage stress, relax, and cope with problems can improve your emotional and physical health and can lower high blood pressure. Stress management techniques include:
                
Being physically active
                
Listening to music or focusing on something calm or peaceful
                
Performing yoga or tai chi
                
Meditating
                

                
Medicines
                
Blood pressure medicines work in different ways to stop or slow some of the bodys functions that cause high blood pressure. Medicines to lower blood pressure include:
                
Diuretics (Water or Fluid Pills): Flush excess sodium from your body, which reduces the amount of fluid in your blood and helps to lower your blood pressure. Diuretics are often used with other high blood pressure medicines, sometimes in one combined pill.
                
Beta Blockers: Help your heart beat slower and with less force. As a result, your heart pumps less blood through your blood vessels, which can help to lower your blood pressure.
                
Angiotensin-Converting Enzyme (ACE) Inhibitors: Angiotensin-II is a hormone that narrows blood vessels, increasing blood pressure. ACE converts Angiotensin I to Angiotensin II. ACE inhibitors block this process, which stops the production of Angiotensin II, lowering blood pressure.
                
Angiotensin II Receptor Blockers (ARBs): Block angiotensin II hormone from binding with receptors in the blood vessels. When angiotensin II is blocked, the blood vessels do not constrict or narrow, which can lower your blood pressure.
                
Calcium Channel Blockers: Keep calcium from entering the muscle cells of your heart and blood vessels. This allows blood vessels to relax, which can lower your blood pressure.
                
Alpha Blockers: Reduce nerve impulses that tighten blood vessels. This allows blood to flow more freely, causing blood pressure to go down.
                
Alpha-Beta Blockers: Reduce nerve impulses the same way alpha blockers do. However, like beta blockers, they also slow the heartbeat. As a result, blood pressure goes down.
                
Central Acting Agents: Act in the brain to decrease nerve signals that narrow blood vessels, which can lower blood pressure.
                
Vasodilators: Relax the muscles in blood vessel walls, which can lower blood pressure.
                
To lower and control blood pressure, many people take two or more medicines. If you have side effects from your medicines, dont stop taking your medicines. Instead, talk with your health care provider about the side effects to see if the dose can be changed or a new medicine prescribed.
                
Future Treatments
                
Scientists, doctors, and researchers continue to study the changes that cause high blood pressure, to develop new medicines and treatments to control high blood pressure. Possible future treatments under investigation include new combination medicines, vaccines, and interventions aimed at the sympathetic nervous system, such as kidney nerve ablation."
prevention,How to prevent High Blood Pressure ?,"Healthy lifestyle habits, proper use of medicines, and regular medical care can prevent high blood pressure or its complications.
                
Preventing High Blood Pressure Onset
                
Healthy lifestyle habits can help prevent high blood pressure from developing. It is important to check your blood pressure regularly. Children should have their blood pressure checked starting at 3 years of age. If prehypertension is detected, it should be taken seriously to avoid progressing to high blood pressure. 
                
Preventing Worsening High Blood Pressure or Complications
                
If you have been diagnosed with high blood pressure, it is important to obtain regular medical care and to follow your prescribed treatment plan, which will include healthy lifestyle habit recommendations and possibly medicines. Not only can healthy lifestyle habits prevent high blood pressure from occurring, but they can reverse prehypertension and help control existing high blood pressure or prevent complications and long-term problems associated with this condition, such as coronary heart disease, stroke, or kidney disease."
treatment,What are the treatments for Metabolic Syndrome ?,"Heart-healthy lifestyle changes are the first line of treatment for metabolic syndrome. Lifestyle changes include heart-healthy eating, losing and maintaining a healthy weight, managing stress, physical activity, and quittingsmoking.
                
If lifestyle changes arent enough, your doctor may prescribe medicines. Medicines are used to treat and control risk factors, such as high blood pressure, high triglycerides, low HDL (good) cholesterol, and high blood sugar.
                
Goals of Treatment
                
The major goal of treating metabolic syndrome is to reduce the risk of coronary heart disease. Treatment is directed first at lowering LDL cholesterol and high blood pressure and managing diabetes (if these conditions are present).
                
The second goal of treatment is to prevent the onset of type2 diabetes, if it hasnt already developed. Long-term complications of diabetes often include heart and kidney disease, vision loss, and foot or leg amputation. If diabetes is present, the goal of treatment is to reduce your risk for heart disease by controlling all of your risk factors.
                

                
Heart-Healthy Lifestyle Changes
                
Heart-Healthy Eating
                
Heart-healthy eating is an important part of a heart-healthy lifestyle. Your doctor may recommend heart-healthy eating, which should include:
                
Fat-free or low-fat dairy products, such as skim milk
                
Fish high in omega-3 fatty acids, such as salmon, tuna, and trout, about twice a week
                
Fruits, such as apples, bananas, oranges, pears, and prunes
                
Legumes, such as kidney beans, lentils, chickpeas, black-eyed peas, and lima beans
                
Vegetables, such as broccoli, cabbage, and carrots
                
Whole grains, such as oatmeal, brown rice, and corn tortillas
                
When following a heart-healthy diet, you should avoid eating:
                
A lot of red meat
                
Palm and coconut oils
                
Sugary foods and beverages
                
Two nutrients in your diet make blood cholesterol levels rise:
                
Saturated fatfound mostly in foods that come from animals
                
Trans fat (trans fatty acids)found in foods made with hydrogenated oils and fats, such as stick margarine; baked goods, such as cookies, cakes, and pies; crackers; frostings; and coffee creamers. Some trans fats also occur naturally in animal fats and meats.
                
Saturated fat raises your blood cholesterol more than anything else in your diet. When you follow a heart-healthy eating plan, only 5percent to 6percent of your daily calories should come from saturated fat. Food labels list the amounts of saturated fat. To help you stay on track, here are some examples:
                
If you eat:
                
Try to eat no more than:
                
1,200 calories a day                     
                
8 grams of saturated fat a day            
                
1,500 calories a day
                
10 grams of saturated fat a day
                
1,800 calories a day
                
12 grams of saturated fat a day
                
2,000 calories a day
                
13 grams of saturated fat a day
                
2,500 calories a day
                
17 grams of saturated fat a day
                
Not all fats are bad. Monounsaturated and polyunsaturated fats actually help lower blood cholesterol levels. Some sources of monounsaturated and polyunsaturated fats are:
                
Avocados
                
Corn, sunflower, and soybean oils
                
Nuts and seeds, such as walnuts
                
Olive, canola, peanut, safflower, and sesame oils
                
Peanut butter
                
Salmon and trout
                
Tofu
                
Sodium
                
You should try to limit the amount of sodium that you eat. This means choosing and preparing foods that are lower in salt and sodium. Try to use low-sodium and no added salt foods and seasonings at the table or while cooking. Food labels tell you what you need to know about choosing foods that are lower in sodium. Try to eat no more than 2,300milligrams of sodium a day. If you have high blood pressure, you may need to restrict your sodium intake even more.
                
Dietary Approaches to Stop Hypertension
                
Your doctor may recommend the Dietary Approaches to Stop Hypertension (DASH) eating plan if you have high blood pressure. The DASH eating plan focuses on fruits, vegetables, whole grains, and other foods that are heart healthy and low in fat, cholesterol, and sodium and salt.
                
The DASH eating plan is a good heart-healthy eating plan, even for those who dont have high blood pressure. Read more about DASH.
                
Limiting Alcohol
                
Try to limit alcohol intake. Too much alcohol can raise your blood pressure and triglyceride levels, a type of fat found in the blood. Alcohol also adds extra calories, which may cause weightgain.
                
Men should have no more than two drinks containing alcohol a day. Women should have no more than one drink containing alcohol a day. One drink is:
                
12 ounces of beer
                
5 ounces of wine
                
1 ounces of liquor
                

                
Maintaining a Healthy Weight
                
If you have metabolic syndrome and are overweight or obese, your doctor will recommend weight loss. He or she can help you create a weight-loss plan and goals. Maintaining a healthy weight can lower your risk for metabolic syndrome, coronary heart disease, and other health problems. Aim for a Healthy Weight by following a heart-healthy eating plan and keeping physically active.
                
Knowing your body mass index (BMI) helps you find out if youre a healthy weight in relation to your height and gives an estimate of your total body fat. To figure out your BMI, check out the National Heart, Lung, and Blood Institutes (NHLBI) online BMI calculator or talk to your doctor. A BMI:
                
Below 18.5 is a sign that you are underweight.
                
Between 18.5 and 24.9 is in the normal range.
                
Between 25.0 and 29.9 is considered overweight.
                
Of 30.0 or higher is considered obese.
                
A general goal to aim for is a BMI of less than 25. Your doctor or health care provider can help you set an appropriate BMI goal.
                
Measuring waist circumference helps screen for possible health risks. If most of your fat is around your waist rather than at your hips, youre at a higher risk for heart disease and type2 diabetes. This risk may be higher with a waist size that is greater than 35 inches for women or greater than 40 inches for men.
                
If youre overweight or obese, try to lose weight. A loss of just 3percent to 5percent of your current weight can lower your triglycerides, blood glucose, and the risk of developing type2 diabetes. Greater amounts of weight loss can improve blood pressure readings, lower LDL (bad) cholesterol, and increase HDL cholesterol.
                

                
Managing Stress
                
Learning how to manage stress, relax, and cope with problems can improve your emotional and physical health. Consider healthy stress-reducing activities, such as:
                
A stress management program
                
Meditation
                
Physical activity
                
Relaxation therapy
                
Talking things out with friends or family
                

                
Physical Activity
                
Regular physical activity can lower your risk for metabolic syndrome, coronary heart disease, and other health problems. Everyone should try to participate in moderate-intensity aerobic exercise at least 2hours and 30minutes per week or vigorous aerobic exercise for 1hour and 15minutes per week. Aerobic exercise, such as brisk walking, is any exercise in which your heart beats faster and you use more oxygen than usual. The more active you are, the more you will benefit. Participate in aerobic exercise for at least 10minutes at a time spread throughout the week.
                
Talk with your doctor before you start a new exercise plan. Ask your doctor how much and what kinds of physical activity are safe for you.
                
Read more about physical activity at:
                
Physical Activity and Your Heart
                
U.S. Department of Health and Human Services 2008 Physical Activity Guidelines for Americans
                

                
Quitting Smoking
                
If you smoke, quit. Smoking can raise your risk for heart disease and heart attack and worsen other heart disease risk factors. Talk with your doctor about programs and products that can help you quit smoking. Also, try to avoid secondhand smoke.
                
If you have trouble quitting smoking on your own, consider joining a support group. Many hospitals, workplaces, and community groups offer classes to help people quit smoking. For more information about how to quit smoking, go to the Smoking and Your Heart Health Topic.
                

                
Medicines
                
Sometimes lifestyle changes arent enough to control your risk factors for metabolic syndrome. For example, you may need statin medications to control or lower your cholesterol. By lowering your blood cholesterol level, you can decrease your chance of having a heart attack or stroke. Doctors usually prescribe statins for people who have:
                
Diabetes
                
Heart disease or had a prior stroke
                
High LDL cholesterol levels
                
Doctors may discuss beginning statin treatment with those who have an elevated risk for developing heart disease or having a stroke.
                
Your doctor also may prescribe other medications to:
                
Decrease your chance of having a heart attack or dying suddenly.
                
Lower your blood pressure.
                
Prevent blood clots, which can lead to heart attack or stroke.
                
Reduce your hearts workload and relieve symptoms of coronary heart disease.
                
Take all medicines regularly, as your doctor prescribes. Dont change the amount of your medicine or skip a dose unless your doctor tells you to. You should still follow a heart-healthy lifestyle, even if you take medicines to treat your risk factors for metabolic syndrome."
prevention,How to prevent Metabolic Syndrome ?,"Making heart-healthy lifestyle choices is the best way to prevent metabolic syndrome by:
                
Being physically active
                
Following a heart-healthy eating plan
                
Knowing your weight, waist measurement, and body mass index
                
Maintaining a healthy weight
                
Make sure to schedule routine doctor visits to keep track of your cholesterol, blood pressure, and blood sugar levels. Speak with your doctor about a blood test called a lipoprotein panel, which shows your levels of total cholesterol, LDL cholesterol, HDL cholesterol, and triglycerides."
information,What is (are) Heart Attack ?,"Espaol
                
A heart attack happens when the flow of oxygen-rich blood to a section of heart muscle suddenly becomes blocked and the heart cant get oxygen. If blood flow isnt restored quickly, the section of heart muscle begins to die.
                
Heart attack treatment works best when its given right after symptoms occur. If you think you or someone else is having a heart attack, even if youre not sure, call 911 right away.
                
Overview
                
Heart attacks most often occur as a result of coronary heart disease (CHD), also called coronary artery disease. CHD is a condition in which a waxy substance called plaque builds up inside the coronary arteries. These arteries supply oxygen-rich blood to your heart.
                
When plaque builds up in the arteries, the condition is called atherosclerosis. The buildup of plaque occurs over many years.
                
Eventually, an area of plaque can rupture (break open) inside of an artery. This causes a blood clot to form on the plaque's surface. If the clot becomes large enough, it can mostly or completely block blood flow through a coronary artery.
                
If the blockage isn't treated quickly, the portion of heart muscle fed by the artery begins to die. Healthy heart tissue is replaced with scar tissue. This heart damage may not be obvious, or it may cause severe or long-lasting problems.
                
Heart With Muscle Damage and a Blocked Artery
                

                
A less common cause of heart attack is a severe spasm (tightening) of a coronary artery. The spasm cuts off blood flow through the artery. Spasms can occur in coronary arteries that aren't affected by atherosclerosis.
                
Heart attacks can be associated with or lead to severe health problems, such as heart failure and life-threatening arrhythmias.
                
Heart failure is a condition in which the heart can't pump enough blood to meet the body's needs. Arrhythmias are irregular heartbeats. Ventricular fibrillation is a life-threatening arrhythmia that can cause death if not treated right away.
                
Don't Wait--Get Help Quickly
                
Acting fast at the first sign of heart attack symptoms can save your life and limit damage to your heart. Treatment works best when it's given right after symptoms occur.
                

                
Many people aren't sure what's wrong when they are having symptoms of a heart attack. Some of the most common warning symptoms of a heart attack for both men and women are:
                
Chest pain or discomfort.Most heart attacks involve discomfort in the center or left side of the chest. The discomfort usually lasts more than a few minutes or goes away and comes back. It can feel like pressure, squeezing, fullness, or pain. It also can feel like heartburn or indigestion.
                
Upper body discomfort.You may feel pain or discomfort in one or both arms, the back, shoulders, neck, jaw, or upper part of the stomach (above the belly button).
                
Shortness of breath.This may be your only symptom, or it may occur before or along with chest pain or discomfort. It can occur when you are resting or doing a little bit of physical activity.
                
Other possible symptoms of a heart attack include:
                
Breaking out in a cold sweat
                
Feeling unusually tired for no reason, sometimes for days (especially if you are a woman)
                
Nausea (feeling sick to the stomach) and vomiting
                
Light-headedness or sudden dizziness
                
Any sudden, new symptom or a change in the pattern of symptoms you already have (for example, if your symptoms become stronger or last longer than usual)
                
Not all heart attacks begin with the sudden, crushing chest pain that often is shown on TV or in the movies, or other common symptoms such as chest discomfort. The symptoms of a heart attack can vary from person to person. Some people can have few symptoms and are surprised to learn they've had a heart attack. If you've already had a heart attack, your symptoms may not be the same for another one.
                
Quick Action Can Save Your Life: Call 911
                
If you think you or someone else may be having heart attack symptoms or a heart attack, don't ignore it or feel embarrassed to call for help. Call 911 for emergency medical care. Acting fast can save your life.
                
Do not drive to the hospital or let someone else drive you. Call an ambulance so that medical personnel can begin life-saving treatment on the way to the emergency room. Take a nitroglycerin pill if your doctor has prescribed this type of treatment."
causes,What causes Heart Attack ?,"Coronary Heart Disease
                
A heart attack happens if the flow of oxygen-rich blood to a section of heart muscle suddenly becomes blocked and the heart can't get oxygen. Most heart attacks occur as a result of coronary heart disease (CHD).
                
CHD is a condition in which a waxy substance called plaque builds up inside of the coronary arteries. These arteries supply oxygen-rich blood to your heart.
                
When plaque builds up in the arteries, the condition is called atherosclerosis. The buildup of plaque occurs over many years.
                
Eventually, an area of plaque can rupture (break open) inside of an artery. This causes a blood clot to form on the plaque's surface. If the clot becomes large enough, it can mostly or completely block blood flow through a coronary artery.
                
If the blockage isn't treated quickly, the portion of heart muscle fed by the artery begins to die. Healthy heart tissue is replaced with scar tissue. This heart damage may not be obvious, or it may cause severe or long-lasting problems.
                
Coronary Artery Spasm
                
A less common cause of heart attack is a severe spasm (tightening) of a coronary artery. The spasm cuts off blood flow through the artery. Spasms can occur in coronary arteries that aren't affected by atherosclerosis.
                
What causes a coronary artery to spasm isn't always clear. A spasm may be related to:
                
Taking certain drugs, such as cocaine
                
Emotional stress or pain
                
Exposure to extreme cold
                
Cigarette smoking"
susceptibility,Who is at risk for Heart Attack? ?,"Certain risk factors make it more likely that you'll develop coronary heart disease (CHD) and have a heart attack. You can control many of these risk factors.
                
Risk Factors You Can Control
                
The major risk factors for a heart attack that you can control include:
                
Smoking
                
High blood pressure
                
High blood cholesterol
                
Overweight and obesity
                
An unhealthy diet (for example, a diet high in saturated fat, trans fat, cholesterol, and sodium)
                
Lack of routine physical activity
                
High blood sugar due to insulin resistance or diabetes
                
Some of these risk factorssuch as obesity, high blood pressure, and high blood sugartend to occur together. When they do, it's called metabolic syndrome.
                
In general, a person who has metabolic syndrome is twice as likely to develop heart disease and five times as likely to develop diabetes as someone who doesn't have metabolic syndrome.
                
For more information about the risk factors that are part of metabolic syndrome, go to the Health Topics Metabolic Syndrome article.
                
Risk Factors You Can't Control
                
Risk factors that you can't control include:
                
Age. The risk of heart disease increases for men after age 45 and for women after age 55 (or after menopause).
                
Family history of early heart disease. Your risk increases if your father or a brother was diagnosed with heart disease before 55 years of age, or if your mother or a sister was diagnosed with heart disease before 65 years of age.
                
Preeclampsia (pre-e-KLAMP-se-ah). This condition can develop during pregnancy. The two main signs of preeclampsia are a rise in blood pressure and excess protein in the urine. Preeclampsia is linked to an increased lifetime risk of heart disease, including CHD, heart attack, heart failure, and high blood pressure."
symptoms,What are the symptoms of Heart Attack ?,"Not all heart attacks begin with the sudden, crushing chest pain that often is shown on TV or in the movies. In one study, for example, one-third of the patients who had heart attacks had no chest pain. These patients were more likely to be older, female, or diabetic.
                
The symptoms of a heart attack can vary from person to person. Some people can have few symptoms and are surprised to learn they've had a heart attack. If you've already had a heart attack, your symptoms may not be the same for another one. It is important for you to know the most common symptoms of a heart attack and also remember these facts:
                
Heart attacks can start slowly and cause only mild pain or discomfort. Symptoms can be mild or more intense and sudden. Symptoms also may come and go over several hours.
                
People who have high blood sugar (diabetes) may have no symptoms or very mild ones.
                
The most common symptom, in both men and women, is chest pain or discomfort.
                
Women are somewhat more likely to have shortness of breath, nausea and vomiting, unusual tiredness (sometimes for days), and pain in the back, shoulders, and jaw.
                
Some people don't have symptoms at all. Heart attacks that occur without any symptoms or with very mild symptoms are called silent heart attacks.
                
Most Common Symptoms
                
The most common warning symptoms of a heart attack for both men and women are:
                
Chest pain or discomfort.Most heart attacks involve discomfort in the center or left side of the chest. The discomfort usually lasts for more than a few minutes or goes away and comes back. It can feel like pressure, squeezing, fullness, or pain. It also can feel like heartburn or indigestion. The feeling can be mild or severe.
                
Upper body discomfort.You may feel pain or discomfort in one or both arms, the back, shoulders, neck, jaw, or upper part of the stomach (above the belly button).
                
Shortness of breath.This may be your only symptom, or it may occur before or along with chest pain or discomfort. It can occur when you are resting or doing a little bit of physical activity.
                
The symptoms of angina (an-JI-nuh or AN-juh-nuh) can be similar to the symptoms of a heart attack. Angina is chest pain that occurs in people who have coronary heart disease, usually when they're active. Angina pain usually lasts for only a few minutes and goes away with rest.
                
Chest pain or discomfort that doesn't go away or changes from its usual pattern (for example, occurs more often or while you're resting) can be a sign of a heart attack.
                
All chest pain should be checked by a doctor.
                
Other Common Signs and Symptoms
                
Pay attention to these other possible symptoms of a heart attack:
                
Breaking out in a cold sweat
                
Feeling unusually tired for no reason, sometimes for days (especially if you are a woman)
                
Nausea (feeling sick to the stomach) and vomiting
                
Light-headedness or sudden dizziness
                
Any sudden, new symptoms or a change in the pattern of symptoms you already have (for example, if your symptoms become stronger or last longer than usual)
                
Not everyone having a heart attack has typical symptoms. If you've already had a heart attack, your symptoms may not be the same for another one. However, some people may have a pattern of symptoms that recur.
                
The more signs and symptoms you have, the more likely it is that you're having a heart attack.
                
Quick Action Can Save Your Life: Call 911
                
The signs and symptoms of a heart attack can develop suddenly. However, they also can develop slowlysometimes within hours, days, or weeks of a heart attack.
                
Any time you think you might be having heart attack symptoms or a heart attack, don't ignore it or feel embarrassed to call for help. Call 911 for emergency medical care, even if you are not sure whether you're having a heart attack. Here's why:
                
Acting fast can save your life.
                
An ambulance is the best and safest way to get to the hospital. Emergency medical services (EMS) personnel can check how you are doing and start life-saving medicines and other treatments right away. People who arrive by ambulance often receive faster treatment at the hospital.
                
The 911 operator or EMS technician can give you advice. You might be told to crush or chew an aspirin if you're not allergic, unless there is a medical reason for you not to take one. Aspirin taken during a heart attack can limit the damage to your heart and save your life.
                
Every minute matters. Never delay calling 911 to take aspirin or do anything else you think might help."
